"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Covariate simulations for MOM model M(3,3){cov(theta)} with a covariate predicting classification probabilities, 3 classification states, 3 true species states, a primary observer, and identical secondary observers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,,,,,,,,,,,,,,,,,,,,,
M.theta,99,3,3,1,3,constant,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_p,n_s,mix_12,mix_13,mix_23,b0_theta_p_21,b0_theta_p_31,b0_theta_p_12,b0_theta_p_32,b0_theta_p_13,b0_theta_p_23,b0_theta_s1_21,b0_theta_s1_31,b0_theta_s1_12,b0_theta_s1_32,b0_theta_s1_13,b0_theta_s1_23,b1_theta_p_21,b1_theta_p_31,b1_theta_p_12,b1_theta_p_32,b1_theta_p_13,b1_theta_p_23,b1_theta_s1_21,b1_theta_s1_31,b1_theta_s1_12,b1_theta_s1_32,b1_theta_s1_13,b1_theta_s1_23,psi_1,psi_2,g_1,g_2,g_3
2000,2000,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.4,0.3,1,1,1
2000,2000,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.1,0.45,1,1,1
1343,1343,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.4,0.3,1.1,2,1.5
1187,1187,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.1,0.45,1.1,2,1.5
580,580,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.4,0.3,3,4,3.5
544,544,0,0,0,-1.508,-1.2,-1.025,-0.792,-0.883,-1.427,-2.16,-1.95,-3.272,-2.578,-1.967,-2.317,0.505,0.422,0.45,0.398,0.382,0.517,0.644,0.567,1.078,0.77,0.568,0.702,0.1,0.45,3,4,3.5
