"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,
"Covariate simulations for SOM model M(2,2){cov(psi+theta)} with indepedent covariates predicting true species probabilities and classification probabilities, 2 classification states, 2 true species states, and identical secondary observers",,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,
,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,
M.theta.psi,99,2,2,0,3,encounter,20,0,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
n_p,n_s,mix_12,b0_psi_1,b1_psi_1,b0_theta_s1_21,b0_theta_s1_12,b1_theta_s1_21,b1_theta_s1_12,g_1,g_2
1800,1800,0,-4.47,3,-2.63,-4.33,1.1,1.92,1,1
1800,1800,0,-4.47,3,-2.32,-3.34,-0.55,-0.958,1,1
1800,1800,0,-0.49,0.989,-2.63,-4.33,1.1,1.92,1,1
1800,1800,0,-0.49,0.989,-2.32,-3.34,-0.55,-0.958,1,1
1800,1800,0,-2.64,1.11,-2.63,-4.33,1.1,1.92,1,1
1800,1800,0,-2.64,1.11,-2.32,-3.34,-0.55,-0.958,1,1
1800,1800,0,-0.425,0.435,-2.63,-4.33,1.1,1.92,1,1
1800,1800,0,-0.425,0.435,-2.32,-3.34,-0.55,-0.958,1,1
942,942,0,-4.47,3,-2.63,-4.33,1.1,1.92,1.1,2
942,942,0,-4.47,3,-2.32,-3.34,-0.55,-0.958,1.1,2
1098,1098,0,-0.49,0.989,-2.63,-4.33,1.1,1.92,1.1,2
1098,1098,0,-0.49,0.989,-2.32,-3.34,-0.55,-0.958,1.1,2
942,942,0,-2.64,1.11,-2.63,-4.33,1.1,1.92,1.1,2
942,942,0,-2.64,1.11,-2.32,-3.34,-0.55,-0.958,1.1,2
1098,1098,0,-0.425,0.435,-2.63,-4.33,1.1,1.92,1.1,2
1098,1098,0,-0.425,0.435,-2.32,-3.34,-0.55,-0.958,1.1,2
942,942,0.5,-4.47,3,-2.63,-4.33,1.1,1.92,1.1,2
942,942,0.5,-4.47,3,-2.32,-3.34,-0.55,-0.958,1.1,2
1098,1098,0.2,-0.49,0.989,-2.63,-4.33,1.1,1.92,1.1,2
1098,1098,0.2,-0.49,0.989,-2.32,-3.34,-0.55,-0.958,1.1,2
942,942,0.5,-2.64,1.11,-2.63,-4.33,1.1,1.92,1.1,2
942,942,0.5,-2.64,1.11,-2.32,-3.34,-0.55,-0.958,1.1,2
1098,1098,0.2,-0.425,0.435,-2.63,-4.33,1.1,1.92,1.1,2
1098,1098,0.2,-0.425,0.435,-2.32,-3.34,-0.55,-0.958,1.1,2
