"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,
"Distinct observer simulations for MOM model M(2,2){p,s} with 2 classification states, 2 true species states, a primary observer, and distinct secondary observers",,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,
M,99,2,2,1,3,constant,0,0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
n_p,n_s,mix_12,theta_p_21,theta_p_12,theta_s1_21,theta_s1_12,theta_s2_21,theta_s2_12,theta_s3_21,theta_s3_12,psi_1,g_1,g_2
1800,1800,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.4,1,1
1800,1800,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.1,1,1
1098,1098,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.4,1.1,2
943,943,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.1,1.1,2
500,500,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.4,3,4
462,462,0,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.1,3,4
1098,1098,0.05,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.4,1.1,2
943,943,0.05,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.1,1.1,2
500,500,0.05,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.4,3,4
462,462,0.05,0.15,0.2,0.1,0.05,0.07,0.04,0.05,0.15,0.1,3,4
